ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
9423,04/25/2003,2,34,EAU CLAIRE,WI,54703,3528,0,P,R,4,S,N,,,,1,M,1,27000,U,0,,,,,,,,15448,N,,Y,343.37,0,,Y,1931.56,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,-223.7
43810,07/25/1997,3,30,CINCINNATI,OH,45208,2016,0,P,O,3,M,N,,,,1,M,2,49999.92,N,330,F,1970,B,R,1,,A,39249,N,,Y,1557.89,0,,Y,974.11,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-223.47
17369,04/05/2006,2,47,DOUSMAN,WI,53118,9319,1,1,O,7,M,Y,,Y,,1,M,2,62500,N,270,I,,B,R,2,,A,46149,N,,Y,606.44,0,,Y,651.65,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,-220.69
20130,01/03/2007,8,60,TROY,MO,63379,4013,0,C,O,2,M,N,,,,1,M,2,62500,N,310,,,B,R,2,,,247,Y,2533.15,Y,1085.67,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,Y,NA,N,NA,Y,-220.63
6211,03/06/2000,2,45,SAINT PAUL,MN,55106,4511,1,P,O,3,A,Y,,Y,,1,M,2,39999.96,N,400,G,1890,,,3,,A,10537,N,,Y,647.05,0,,Y,78.04,N,0,N,0,N,0,,0,,0,N,,Y,Y,Y,Y,NA,Y,-220.16
22526,07/29/1980,2,51,SEASIDE,OR,97138,6650,0,4,R,0,M,N,,,,1,M,2,25000,S,0,,,B,R,,,,2990,N,,Y,181.64,0,,N,,N,0,N,0,N,0,,0,,0,N,,N,Y,Y,Y,NA,Y,-219.89
35350,07/03/1999,3,58,BOLINGBROOK,IL,60440,4804,0,O,O,10,M,N,,,,1,M,2,33000,N,0,J,,B,R,2,,A,54718,N,,Y,1070.63,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-218.24
14237,04/21/2005,1,23,MINNEAPOLIS,MN,55405,2841,0,P,R,1,B,N,,,,1,M,1,15000,N,220,,,,,2,,,29532,N,,Y,1298.05,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,NA,-218.09
1286,07/30/1981,3,53,DENVER,CO,80227,5444,0,O,O,1,S,N,,,,1,F,1,30463.92,N,90,M,1984,B,R,1,,A,3658,N,,Y,1046.31,0,,Y,60.7,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-214.27
16076,11/02/2005,4,58,CAMERON PARK,CA,95682,0997,0,1,O,13,M,N,,,Y,4,M,2,62500,N,0,I,,B,R,2,,,29332,N,,Y,59.42,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-213.78
11438,03/26/2004,2,27,CLARKSVILLE,TN,37042,5503,1,F,O,1,M,Y,Y,,,2,M,2,78000,N,100,D,1991,,,2,,A,527,N,,Y,2280.49,0,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-210.76
37611,10/19/1999,4,37,IOWA CITY,IA,52246,5533,0,P,O,6,M,N,,,,3,F,2,62500,U,80,E,,,,1,,,109218,N,,Y,1401.76,1,0,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-209.22
10906,12/30/2003,2,27,MOSCOW MILLS,MO,63362,2055,1,P,O,2,B,Y,Y,,,1,M,1,21600,N,150,,,B,R,,,,1467,N,,Y,655.69,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-206.16
44734,07/07/1995,2,25,COLUMBUS,OH,43220,3536,0,4,O,5,S,N,,,,1,F,1,57999.96,N,60,C,1970,B,R,1,,B,2262,N,,Y,677.58,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-205.81
7144,08/14/2001,4,53,FORTUNA,CA,95540,2203,0,P,O,1,S,N,,,,1,F,1,15000,N,0,J,,B,R,,,A,6622,N,,Y,1843.2,0,,N,,N,0,N,0,N,0,,0,,0,N,,N,NA,NA,NA,NA,Y,-205.69
7096,07/25/2001,2,30,BURLEY,ID,83318,2513,1,5,R,4,S,Y,Y,,,1,M,1,12000,S,0,,,,,,Y,,502,N,,Y,473.06,0,,Y,25,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-205.49
7960,06/06/2002,1,56,HATTIEVILLE,AR,72063,8000,,P,,0,,,,,,0,,,,N,0,D,,,,,,,35391,N,,N,,1,6838.52,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,Y,NA,-204.42
39670,01/16/2002,2,31,OLMSTED FALLS,OH,44138,3539,0,1,O,6,M,N,,,,1,M,3,16299.96,N,290,H,2000,B,R,1,,A,36907,N,,Y,539.31,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,NA,-204.16
218,08/17/1990,7,73,COLORADO SPGS,CO,80920,5914,0,O,O,1,A,N,,,,1,M,2,62500,N,30,,,,,1,,,139893,Y,43000,Y,303.8,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,Y,NA,Y,-202.33
32223,06/29/2006,1,44,PARAMUS,NJ,07652,4615,1,O,O,2,M,Y,,Y,,1,F,2,87500,O,0,Q,1952,B,R,,,A,475766,N,,N,,1,5400,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,Y,NA,-201.61
42704,10/09/1986,3,54,ARNOLD,MO,63010,1278,0,1,O,15,S,N,,,,1,F,1,36000,S,20,A,,B,R,2,,A,8412,N,,Y,634.11,1,5679.96,Y,900.94,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-200.93
14097,04/01/2005,3,51,PORTLAND,OR,97219,4139,0,O,R,2,B,N,,,,1,M,1,87500,N,20,D,,,,1,,,12331,N,,Y,1004.92,0,,Y,2605.56,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-199.59
13094,11/12/2004,2,26,DES MOINES,IA,50310,3516,0,O,O,3,S,N,,,,1,M,1,52999.92,U,0,D,1923,,,,,A,49041,N,,Y,2287.45,0,,Y,867.94,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-198.28
18051,06/15/2006,1,29,WILLIAMSBURG,OH,45176,9264,0,P,O,2,B,N,,,,1,M,2,20400,N,120,,,,,1,,,3859,N,,Y,407.24,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-197.98
32290,07/14/2006,1,48,STOCKTON,CA,95209,4104,0,O,O,7,S,N,,,,1,F,1,62500,U,0,O,1991,B,R,,,A,20960,N,,N,,1,4718.36,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-197.42
11442,03/24/2004,2,57,POCATELLO,ID,83201,6844,0,5,O,15,S,N,,,,1,M,3,17500,N,260,D,,B,R,2,,,14893,N,,Y,168.59,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,Y,NA,Y,NA,Y,-196.81
12625,09/08/2004,1,45,SPOKANE,WA,99207,1721,0,P,R,10,M,N,,,,1,,2,43579.92,S,0,C,1908,,,,,A,4355,N,,Y,1376.47,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,Y,Y,-196.77
8866,01/13/2003,1,39,WASHINGTON,PA,15301,7136,1,3,O,15,M,Y,Y,,,1,M,2,62500,I,0,D,,B,R,1,,,9421,N,,N,,0,,N,,N,0,N,0,N,0,Y,17235.21,,0,N,,NA,NA,NA,NA,NA,NA,-195.89
11971,06/15/2004,3,22,JOPLIN,MO,64804,3154,0,P,R,3,B,N,,,,1,M,1,18845.52,N,0,,,,,,,,18561,N,,Y,372.6,1,3719.38,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-195.43
35909,09/30/1992,3,42,GALENA,KS,66739,1785,1,2,O,12,M,Y,,Y,,4,M,2,34999.92,S,0,C,,B,R,2,Y,,661,N,,Y,2822.15,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,Y,Y,-194.96
